0,19.07,16.45,30.57,19.74,16.16,34.8,28.15,24.89,24.73,17.36,19.94,22.94,28.26,22.64,23.56,16.57,9.93,13.19,31.02,24.86,24.24,32.79,23.47,13.24,17.54,19.37,14.44,18.55,22.96,24.8,21.32,15.28,21.82,24.08,24.98,29.7,20.97,24.66,18.56,21.71,16.83,28.31,22.59,20.04,24.28,16.92,26.25,22.88,50.42,18.6,20.63
3,19.02,18.69,30.75,20.64,17,34.41,29.18,24.91,26.75,18.59,20.55,24.17,28.26,23.23,24.28,15.92,10.99,16.55,32.57,25.83,26.51,35.1,25.61,13.44,18.83,20.1,14.69,19.12,23.69,26.24,22.61,15.65,22.18,24.13,25.12,30.37,20.45,25.33,19.84,22.47,17.35,29.64,23.84,23.18,24.25,16.42,27.32,25.12,50.29,19.42,21.14
6,19.47,17.71,31.44,20.18,20.04,35.67,29.12,25.15,26.06,19.11,21.7,24.53,29.25,24.39,23.71,17.52,13.09,17.06,32.43,28.04,25.67,36.18,27.16,14.34,18.09,20.9,15.46,18.11,24.87,25.03,23.72,15.62,22.15,25.49,24.98,31.57,21.45,25.74,21.31,23.11,17.6,29.86,24.4,23.28,24.63,16.01,27.14,25.27,53.56,18.77,21.54
9,21.5,18.67,33.24,21.28,19.59,39.81,30.55,25.91,27.36,19.03,20.96,24.17,30.35,24.75,24.59,16.38,13.29,16.57,34.18,27.53,26.23,36.93,26.63,14.18,18.54,20.82,15.69,18.72,22.94,24.81,23.46,16.88,23.86,25.24,26.82,33.44,21.54,25.24,21.91,22.97,18.34,29.59,25.78,22.37,27.15,16.95,28.96,27.17,53.76,19.57,21.67
12,22.64,19.44,31.73,21.24,20.42,42.27,30.08,25.69,27.28,19.01,20.56,24.51,28.89,26.71,24.57,16.75,12.45,17.41,33.77,27.72,27.64,38.04,28.71,15.28,18.25,20.48,15.7,19.67,25.85,27.65,23.5,17.74,24.03,25.02,27.03,33.57,22.64,25.85,22.13,24.15,20.12,29.82,26.01,23.85,26.24,17.44,30.75,24.81,55.66,20.64,20.92
15,24.32,19.65,32.49,20.43,20.36,43.2,29.41,27.22,27.47,20.17,21.73,26.21,28.07,26.24,24.61,16.3,12.87,16.67,34.58,28.96,28.41,40.04,28.78,14.16,17.6,21.41,16.14,21.4,26.84,29.74,23.87,17.44,24.71,27.27,27.51,31.11,23.1,28.23,22.7,23.8,19.71,32.37,26.21,25.77,27.77,16.77,29.07,26.91,55.6,21.22,22.54
18,23.44,21.91,35.05,22.3,19.12,43.79,31.42,28.75,29.24,19.78,23.55,25.52,29.14,27.87,26.09,16.48,14.93,15.2,35.27,29.31,29.52,40.89,28.8,14.03,17.84,24.06,14.34,20.71,28.4,30.35,25.27,19.22,25.47,27.82,27.84,31.85,22.54,27.02,22.84,23.88,20.66,32.69,27,25.15,27.97,17.86,32.08,28.81,58.45,21.29,24.29
21,24.98,21.92,31.3,25.07,18,42.24,31.46,27.84,28.44,19.77,22.9,25.48,28.43,27.74,27.83,19.37,14.63,17.56,38.01,31.59,28.68,41.67,28.96,15.88,20.85,23.48,15.84,21.42,28.35,33.15,27.23,17.72,27.29,28.79,31.41,32.47,23.18,28.87,24.28,24.14,20.97,36.61,27.29,26.71,30.19,19.24,32.74,29.25,57.76,21.91,24.05
24,26.01,21.67,32.01,25.47,20.03,45.31,33.06,27.91,31.31,21.54,24.42,27.64,31.88,29,28.14,19.67,14.86,16.58,39.42,32.16,28.92,41.22,30.93,14.92,19.72,24.65,16.47,20.51,29.14,34.15,27.9,18.73,29.6,27.78,33.28,31.98,23.55,28.01,25.23,23.88,22.52,36.71,28.08,25.29,31.48,20.01,33.59,28.61,58.87,22.29,24.28
27,25.32,24.19,32.01,26.65,22.57,44.41,33.51,30.31,31.67,21.79,25.89,27.37,34.45,28.49,31.49,21.09,15.81,16.7,40.45,32.83,30.52,45.4,30.42,16.06,18.85,23.7,18.64,21.59,32.33,35.06,23.05,19.17,28.27,29.06,33.49,33.3,24.53,29.87,23.79,25.61,23.13,34.39,29.69,27.59,31.52,23.22,36.5,27.68,60.08,22.67,22.26
